Trade(buyOrderId=BUY-1763965650528-006499, sellOrderId=SELL-1763965655403-007276, tradeType=FOREX, price=2.47, quantity=411, timestamp=1774605095574)
Trade(buyOrderId=BUY-1763965650522-001717, sellOrderId=SELL-1763965655393-001827, tradeType=FOREX, price=1.1, quantity=338, timestamp=1774611749705)
Trade(buyOrderId=BUY-1763965650528-006549, sellOrderId=SELL-1763965655390-000118, tradeType=EQUITY, price=100.0, quantity=36, timestamp=1774611749757)
Trade(buyOrderId=BUY-1763965650522-001717, sellOrderId=SELL-1763965655393-001418, tradeType=FOREX, price=7.23, quantity=11, timestamp=1774611749758)
Trade(buyOrderId=BUY-1763965650522-001717, sellOrderId=SELL-1763965655398-004485, tradeType=FOREX, price=1.3, quantity=12, timestamp=1774611749759)
Trade(buyOrderId=BUY-1763965650524-003423, sellOrderId=SELL-1763965655398-004485, tradeType=FOREX, price=1.3, quantity=286, timestamp=1774611749760)
Trade(buyOrderId=BUY-1763965650524-003423, sellOrderId=SELL-1763965655394-002337, tradeType=FOREX, price=2.48, quantity=472, timestamp=1774611749762)
Trade(buyOrderId=BUY-1763965650524-003463, sellOrderId=SELL-1763965655394-002337, tradeType=FOREX, price=2.48, quantity=293, timestamp=1774611749763)
Trade(buyOrderId=BUY-1763965650528-006549, sellOrderId=SELL-1763965655393-001525, tradeType=EQUITY, price=402.38, quantity=37, timestamp=1774611749764)
Trade(buyOrderId=BUY-1763965650528-006549, sellOrderId=SELL-1763965655394-002053, tradeType=EQUITY, price=105.37, quantity=51, timestamp=1774611749765)
Trade(buyOrderId=BUY-1763965650527-005302, sellOrderId=SELL-1763965655394-002053, tradeType=EQUITY, price=105.37, quantity=175, timestamp=1774611749767)
Trade(buyOrderId=BUY-1763965650521-001415, sellOrderId=SELL-1763965655394-002053, tradeType=EQUITY, price=105.37, quantity=22, timestamp=1774611749769)
